instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms,best_feasible_items,best_feasible_weight,best_feasible_volume
data/instance_small,islands,8,4096,200,0.398401,3668.92,0.280692,2281.94,1,681.262,42,1025.55,757.44
data/instance_small,islands,8,5000,200,0.398401,3668.92,0.288546,2343.9,1,665.093,40,995.41,797.17
data/instance_small,islands,8,6789,200,0.398401,3668.92,0.286616,2325.04,1,666.974,41,992.53,766.1
data/instance_small,islands,8,7654,200,0.398401,3668.92,0.308368,2505.98,1,689.422,44,1007.69,792.74
data/instance_small,islands,8,8192,200,0.398401,3668.92,0.280503,2275.56,1,664.622,39,1013.27,738.97
data/instance_small,islands,8,9001,200,0.398401,3668.92,0.334776,2721.38,1,691.37,44,1010.19,804.26
data/instance_small,islands,8,9999,200,0.398401,3668.92,0.304527,2471.65,1,670.411,43,950.13,779.64
data/instance_medium,sequential,1,42,200,0.329039,34543.7,0.254379,21897.1,1,4664.18,401,10597.5,8172.79
data/instance_medium,sequential,1,123,200,0.32905,34088,0.251467,21662.2,1,4657.68,407,10598.7,8245.96
data/instance_medium,sequential,1,256,200,0.325821,35076.5,0.251232,21643.7,1,4675.55,405,10526.6,8225.64
data/instance_medium,sequential,1,512,200,0.325223,34053,0.25568,22012.5,1,4620.95,400,10417.8,8249.58
data/instance_medium,sequential,1,999,200,0.328826,34288,0.251006,21605.4,1,4669.34,403,10593.6,8168.08
data/instance_medium,sequential,1,1337,200,0.3288,35216.5,0.249438,21479.1,1,4672.03,409,10545.4,8236.78
data/instance_medium,sequential,1,2048,200,0.326081,33327.8,0.249932,21525.1,1,4638.52,408,10502.8,8233.91
data/instance_medium,sequential,1,3141,200,0.330282,34094.7,0.249924,21520.9,1,4665.29,401,10603.8,8164.26
data/instance_medium,sequential,1,4096,200,0.328882,34362.1,0.251962,21680.7,1,4671.72,395,10591.4,7910.58
data/instance_medium,sequential,1,5000,200,0.328846,34054,0.252224,21718.7,1,4658.11,400,10322.3,8243.16
data/instance_medium,sequential,1,6789,200,0.328826,34740.4,0.249858,21508.4,1,4667.92,404,10588.3,8148.12
data/instance_medium,sequential,1,7654,200,0.325567,34195.8,0.255816,22025.9,1,4661.2,403,10437,8222.53
data/instance_medium,sequential,1,8192,200,0.3268,32983.1,0.251229,21631.4,1,4681.57,405,10331.4,8248.27
data/instance_medium,sequential,1,9001,200,0.327645,33299.5,0.250472,21566.4,1,4653.57,402,10295.2,8239.63
data/instance_medium,sequential,1,9999,200,0.327898,34762.5,0.252442,21747.8,1,4653.91,413,10447.3,8238.33
data/instance_medium,parallel,1,42,200,0.328313,33690.7,0.254379,21897.1,1,4647.37,401,10597.5,8172.79
data/instance_medium,parallel,1,123,200,0.324492,34070.5,0.251467,21662.2,1,4642.62,407,10598.7,8245.96
data/instance_medium,parallel,1,256,200,0.328759,33942.6,0.251232,21643.7,1,4631.22,405,10526.6,8225.64
data/instance_medium,parallel,1,512,200,0.330452,34207.8,0.25568,22012.5,1,4620.41,400,10417.8,8249.58
data/instance_medium,parallel,1,999,200,0.327037,34306.8,0.251006,21605.4,1,4662.39,403,10593.6,8168.08
data/instance_medium,parallel,1,1337,200,0.329502,34788.7,0.249529,21473.2,1,4651.35,398,10145.3,8241.23
