variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_optimized,instance_large,1024,10000,42,256,200,4167.43,1114.91,5.89904,0.818592,0.262503,233885,1,0.245242,213585
cuda_optimized,instance_large,1024,10000,43,256,200,4174.26,1115.56,5.94531,0.76656,0.263245,235983,1,0.24472,213087
cuda_optimized,instance_large,1024,10000,44,256,200,4173.7,1114.24,5.83142,0.781216,0.262295,234727,1,0.245718,213969
cuda_optimized,instance_large,1024,10000,45,256,200,4146.46,1118.25,5.82701,0.778016,0.262558,234879,1,0.245646,213981
cuda_optimized,instance_large,1024,10000,46,256,200,4170.42,1120.33,5.86758,0.786336,0.262048,234041,1,0.245272,213562
cuda_optimized,instance_large,1024,10000,47,256,200,4187.27,1116.23,5.99562,0.813152,0.262823,234909,1,0.245997,214221
cuda_optimized,instance_large,1024,10000,48,256,200,4174.77,1118.19,5.81024,0.834144,0.26334,235472,1,0.245977,214240
cuda_optimized,instance_large,1024,10000,49,256,200,4170.09,1117.05,5.96282,0.7904,0.263266,235038,1,0.246041,214266
cuda_optimized,instance_large,1024,10000,50,256,200,4172.74,1119.62,6.07613,0.7856,0.262398,235026,1,0.246012,214306
cuda_optimized,instance_large,1024,10000,51,256,200,4186.03,1118.33,5.78314,0.793216,0.261486,233185,1,0.245457,213763
cuda_optimized,instance_large,4096,10000,42,256,200,13128.8,1203.1,4.56736,2.81645,0.270572,243883,1,0.247718,215743
cuda_optimized,instance_large,4096,10000,43,256,200,12868.7,1195.92,4.61219,2.8137,0.270345,242908,1,0.246948,215064
cuda_optimized,instance_large,4096,10000,44,256,200,13120.9,1199.49,4.53245,2.88176,0.26893,242818,1,0.24608,214354
cuda_optimized,instance_large,4096,10000,45,256,200,13111.4,1204.05,4.52058,2.8607,0.269741,243233,1,0.245734,214058
cuda_optimized,instance_large,4096,10000,46,256,200,13103.6,1198.53,4.51738,2.8281,0.269912,242927,1,0.245671,213959
cuda_optimized,instance_large,4096,10000,47,256,200,13083.6,1200.77,4.55555,2.81514,0.269346,242014,1,0.246072,214329
cuda_optimized,instance_large,4096,10000,48,256,200,13083.1,1207.03,4.55539,2.83171,0.270905,243586,1,0.247136,215301
cuda_optimized,instance_large,4096,10000,49,256,200,13101.1,1199.33,4.57043,2.844,0.270055,243423,1,0.246299,214485
cuda_optimized,instance_large,4096,10000,50,256,200,13117.3,1202.89,4.6849,2.86746,0.269874,242866,1,0.247706,215705
cuda_optimized,instance_large,4096,10000,51,256,200,13123,1208.84,4.55792,2.85469,0.270787,242443,1,0.246319,214504
cuda_optimized,instance_large,16384,10000,42,256,200,49578.9,2307.9,4.57094,11.0207,0.276177,249099,1,0.247752,215775
cuda_optimized,instance_large,16384,10000,43,256,200,49629,2319.03,4.70707,10.9354,0.276565,249910,1,0.247219,215304
cuda_optimized,instance_large,16384,10000,44,256,200,49681,2311.1,4.67443,10.8374,0.27642,250658,1,0.246538,214728
cuda_optimized,instance_large,16384,10000,45,256,200,49585,2309.15,4.63475,10.8665,0.277169,250330,1,0.248205,216164
cuda_optimized,instance_large,16384,10000,46,256,200,49611,2311.5,4.64726,10.9798,0.27702,250243,1,0.247032,215184
cuda_optimized,instance_large,16384,10000,47,256,200,49637.4,2319.86,4.56896,10.882,0.276845,250973,1,0.246435,214654
cuda_optimized,instance_large,16384,10000,48,256,200,49620.7,2305.95,4.59462,10.9446,0.277058,250344,1,0.247422,215474
cuda_optimized,instance_large,16384,10000,49,256,200,49665.5,2314.21,4.59178,10.8509,0.276529,251150,1,0.247301,215389
cuda_optimized,instance_large,16384,10000,50,256,200,49556.3,2311.82,4.59894,10.9133,0.276692,250858,1,0.247457,215499
cuda_optimized,instance_large,16384,10000,51,256,200,49572.5,2305.38,4.58842,10.9343,0.276901,250306,1,0.246565,214787
