variant,instance,pop_size,n_items,seed,block_size,gen_exec,time_ms,kernel_time_ms,transfer_d2h_ms,transfer_h2d_ms,best_fitness,best_value,has_feasible,best_feasible_fitness,best_feasible_value
cuda_basic,instance_large,16384,10000,42,256,200,50544.1,3212.74,8.28118,13.3318,0.276805,250805,1,0.247401,215460
cuda_basic,instance_large,16384,10000,43,256,200,50619.1,3207.03,8.31664,13.5803,0.276742,250446,1,0.247219,215304
cuda_basic,instance_large,16384,10000,44,256,200,50622.7,3199.42,8.31242,13.5678,0.276496,250326,1,0.246538,214728
cuda_basic,instance_large,16384,10000,45,256,200,50471.3,3210.56,8.39606,13.5227,0.278048,251700,1,0.248216,216175
cuda_basic,instance_large,16384,10000,46,256,200,50431.4,3202.53,8.20893,13.5959,0.276694,250698,1,0.247032,215184
cuda_basic,instance_large,16384,10000,47,256,200,50539.2,3223.7,8.25885,13.5629,0.27664,251226,1,0.246461,214689
cuda_basic,instance_large,16384,10000,48,256,200,50572.6,3203.58,8.2895,13.6406,0.276436,249488,1,0.247454,215504
cuda_basic,instance_large,16384,10000,49,256,200,50527.6,3206.68,8.30118,13.6594,0.276165,250458,1,0.247303,215390
cuda_basic,instance_large,16384,10000,50,256,200,50499.1,3215.51,8.35914,13.5394,0.277438,251500,1,0.247457,215497
cuda_basic,instance_large,16384,10000,51,256,200,50443.1,3193.79,8.58048,13.5891,0.277333,251348,1,0.246565,214787
